Id,Attrition
1,1.27E-01
2,1.03E-01
3,1.51E-01
4,2.50E-01
5,1.35E-01
6,2.04E-01
7,4.03E-01
8,9.58E-02
9,1.88E-01
10,1.11E-01
11,1.80E-02
12,5.34E-01
13,8.24E-02
14,9.97E-02
15,7.06E-02
16,3.08E-01
17,6.44E-01
18,2.07E-01
19,1.29E-01
20,2.71E-02
21,5.13E-02
22,6.82E-01
23,1.41E-01
24,8.10E-02
25,3.28E-01
26,2.55E-02
27,9.60E-02
28,7.36E-02
29,6.39E-01
30,6.91E-02
31,7.44E-02
32,1.48E-01
33,6.18E-01
34,2.57E-01
35,3.60E-02
36,3.25E-02
37,2.73E-01
38,1.32E-01
39,2.06E-01
40,3.86E-01
41,9.19E-01
42,3.77E-01
43,5.12E-02
44,5.00E-02
45,1.76E-02
46,5.30E-02
47,2.90E-01
48,1.63E-01
49,5.02E-02
50,3.55E-01
51,3.13E-01
52,7.79E-02
53,5.51E-01
54,7.57E-01
55,2.91E-01
56,5.32E-01
57,6.26E-02
58,8.81E-01
59,1.85E-02
60,1.77E-01
61,4.55E-02
62,7.03E-02
63,6.01E-01
64,2.25E-02
65,1.42E-01
66,2.06E-01
67,4.64E-02
68,5.01E-02
69,2.75E-01
70,1.82E-01
71,1.87E-01
72,1.34E-01
73,5.26E-01
74,2.85E-01
75,4.99E-01
76,8.17E-01
77,1.34E-01
78,2.36E-01
79,1.36E-01
80,3.69E-01
81,1.11E-01
82,6.85E-01
83,2.51E-01
84,3.94E-02
85,2.65E-01
86,1.22E-01
87,5.32E-01
88,1.02E-01
89,1.89E-01
90,4.08E-01
91,2.38E-01
92,1.39E-01
93,1.02E-01
94,3.10E-01
95,8.08E-01
96,5.16E-01
97,5.25E-01
98,1.46E-01
99,1.11E-01
100,6.62E-02
101,6.08E-02
102,6.85E-02
103,2.45E-01
104,3.31E-01
105,1.77E-01
106,1.93E-01
107,4.72E-02
108,1.95E-01
109,9.78E-02
110,9.21E-02
111,2.46E-01
112,1.57E-01
113,5.27E-02
114,2.37E-02
115,4.61E-01
116,3.68E-02
117,7.83E-02
118,5.53E-02
119,1.46E-01
120,1.55E-01
121,5.52E-01
122,1.37E-01
123,5.78E-02
124,6.51E-01
125,6.43E-01
126,3.71E-02
127,2.44E-01
128,3.08E-01
129,6.55E-01
130,1.31E-01
131,7.25E-01
132,3.88E-02
133,1.45E-01
134,3.52E-01
135,9.44E-02
136,1.86E-01
137,9.25E-01
138,7.41E-02
139,6.54E-01
140,9.12E-03
141,3.08E-01
142,4.27E-01
143,8.45E-02
144,4.66E-02
145,1.54E-01
146,4.21E-01
147,9.73E-02
148,7.76E-01
149,3.61E-01
150,3.54E-01
151,1.10E-01
152,6.41E-01
153,9.88E-02
154,8.07E-01
155,2.35E-01
156,1.09E-01
157,3.39E-02
158,1.95E-01
159,1.49E-01
160,2.02E-02
161,7.44E-01
162,2.88E-01
163,2.54E-02
164,3.10E-02
165,2.12E-01
166,6.49E-01
167,2.92E-01
168,3.19E-01
169,1.94E-02
170,3.63E-02
171,1.00E-01
172,1.07E-01
